Part,Section,Page,Name,5e Name,Race,Sex,Quantity,Additional Description
Part 4: Wave Echo Cave,Wandering Monsters,42,Stirge,Stirge,,,8,
Part 4: Wave Echo Cave,Wandering Monsters,42,Ghoul,Ghoul,,,4,
Part 4: Wave Echo Cave,Wandering Monsters,42,Grick,Grick,,,4,
Part 4: Wave Echo Cave,Wandering Monsters,42,Bugbear,Bugbear,,,4,
Part 4: Wave Echo Cave,Wandering Monsters,42,Skeleton,Skeleton,,,6,
Part 4: Wave Echo Cave,Wandering Monsters,42,Zombie,Zombie,,,6,
Part 4: Wave Echo Cave,Wandering Monsters,42,Ochre Jelly,Ochre Jelly,,,1,
Part 4: Wave Echo Cave,Keyed Encounters,44,Tharden Rockseeker,Commoner,Dwarf,Male,1,Deceased
Part 4: Wave Echo Cave,Keyed Encounters,44,Ochre Jelly,Ochre Jelly,,,1,
Part 4: Wave Echo Cave,Keyed Encounters,44,Stirge,Stirge,,,10,
Part 4: Wave Echo Cave,Keyed Encounters,44,Skeleton,Skeleton,,,9,
Part 4: Wave Echo Cave,Keyed Encounters,45,Ghoul,Ghoul,,,3,
Part 4: Wave Echo Cave,Keyed Encounters,46,Ghoul,Ghoul,,,7,
Part 4: Wave Echo Cave,Keyed Encounters,46,Bugbear,Bugbear,,,5,
Part 4: Wave Echo Cave,Keyed Encounters,46,Zombie,Zombie,Dwarf,,8,Dwarf warriors
Part 4: Wave Echo Cave,Keyed Encounters,46,Flameskull,Flameskull,,,1,
Part 4: Wave Echo Cave,Keyed Encounters,47,Mormesk the Wraith,Mormesk the Wraith,,,1,
Part 4: Wave Echo Cave,Keyed Encounters,48,Spectator,Spectator,,,1,
Part 4: Wave Echo Cave,Keyed Encounters,49,Bugbear,Bugbear,,,3,
Part 4: Wave Echo Cave,Keyed Encounters,49,Vhalak,Drow,Drow,Male,1,This is the form the Doppleganger takes
Part 4: Wave Echo Cave,Keyed Encounters,49,Vhalak,Doppleganger,,,1,
Part 4: Wave Echo Cave,Keyed Encounters,49,Nezznar the Black Spider,Nezznar the Black Spider,Drow,Male,1,Black leather armour and robes. He clutches a black staff with a  carved spider at the top
Part 4: Wave Echo Cave,Keyed Encounters,49,Giant Spider,Giant Spider,,,4,
Part 4: Wave Echo Cave,Keyed Encounters,49,Bugbear,Bugbear,,,2,
Part 4: Wave Echo Cave,Keyed Encounters,49,Nundro Rockseeker,Commoner,,,1,
